team_id,espn_id,school_name,team_symbol,team_name,search_name,link,logo_link
1,2006,Akron,AKR,Zips,akron,http://espn.go.com/college-football/team/_/id/2006/akron-zips,http://a.espncdn.com/i/teamlogos/ncaa/med/trans/2006.gif
2,333,Alabama,BAMA,Crimson Tide,alabama,http://espn.go.com/college-football/team/_/id/333/alabama-crimson-tide,http://a.espncdn.com/i/teamlogos/ncaa/med/trans/333.gif
3,12,Arizona,ARIZ,Wildcats,arizona,http://espn.go.com/college-football/team/_/id/12/arizona-wildcats,http://a.espncdn.com/i/teamlogos/ncaa/med/trans/12.gif
4,9,Arizona State,AZST,Sun Devils,arizona-state,http://espn.go.com/college-football/team/_/id/9/arizona-state-sun-devils,http://a.espncdn.com/i/teamlogos/ncaa/med/trans/9.gif
5,8,Arkansas,ARK,Razorbacks,arkansas,http://espn.go.com/college-football/team/_/id/8/arkansas-razorbacks,http://a.espncdn.com/i/teamlogos/ncaa/med/trans/8.gif
6,2032,Arkansas State,ARKS,Red Wolves,arkansas-state,http://espn.go.com/college-football/team/_/id/2032/arkansas-state-red-wolves,http://a.espncdn.com/i/teamlogos/ncaa/med/trans/2032.gif
7,349,Army,ARMY,Black Knights,army,http://espn.go.com/college-football/team/_/id/349/army-black-knights,http://a.espncdn.com/i/teamlogos/ncaa/med/trans/349.gif
8,2,Auburn,AUB,Tigers,auburn,http://espn.go.com/college-football/team/_/id/2/auburn-tigers,http://a.espncdn.com/i/teamlogos/ncaa/med/trans/2.gif
9,2050,Ball State,BALL,Cardinals,ball-state,http://espn.go.com/college-football/team/_/id/2050/ball-state-cardinals,http://a.espncdn.com/i/teamlogos/ncaa/med/trans/2050.gif
10,239,Baylor,BAY,Bears,baylor,http://espn.go.com/college-football/team/_/id/239/baylor-bears,http://a.espncdn.com/i/teamlogos/ncaa/med/trans/239.gif
11,68,Boise State,BOIS,Broncos,boise-state,http://espn.go.com/college-football/team/_/id/68/boise-state-broncos,http://a.espncdn.com/i/teamlogos/ncaa/med/trans/68.gif
12,103,Boston College,BC,Eagles,boston-college,http://espn.go.com/college-football/team/_/id/103/boston-college-eagles,http://a.espncdn.com/i/teamlogos/ncaa/med/trans/103.gif
13,189,Bowling Green,BG,Falcons,bowling-green-state,http://espn.go.com/college-football/team/_/id/189/bowling-green-falcons,http://a.espncdn.com/i/teamlogos/ncaa/med/trans/189.gif
14,252,Brigham Young,BYU,Cougars,brigham-young,http://espn.go.com/college-football/team/_/id/252/brigham-young-cougars,http://a.espncdn.com/i/teamlogos/ncaa/med/trans/252.gif
15,2084,Buffalo,BUFF,Bulls,buffalo,http://espn.go.com/college-football/team/_/id/2084/buffalo-bulls,http://a.espncdn.com/i/teamlogos/ncaa/med/trans/2084.gif
16,25,California,CAL,Bears,california,http://espn.go.com/college-football/team/_/id/25/california-golden-bears,http://a.espncdn.com/i/teamlogos/ncaa/med/trans/25.gif
17,2117,Central Michigan,CMIC,Chippewas,central-michigan,http://espn.go.com/college-football/team/_/id/2117/central-michigan-chippewas,http://a.espncdn.com/i/teamlogos/ncaa/med/trans/2117.gif
18,2132,Cincinnati,CINC,Bearcats,cincinnati,http://espn.go.com/college-football/team/_/id/2132/cincinnati-bearcats,http://a.espncdn.com/i/teamlogos/ncaa/med/trans/2132.gif
19,228,Clemson,CLEM,Tigers,clemson,http://espn.go.com/college-football/team/_/id/228/clemson-tigers,http://a.espncdn.com/i/teamlogos/ncaa/med/trans/228.gif
20,38,Colorado,COLO,Buffalo,colorado,http://espn.go.com/college-football/team/_/id/38/colorado-buffaloes,http://a.espncdn.com/i/teamlogos/ncaa/med/trans/38.gif
21,36,Colorado State,COST,Rams,colorado-state,http://espn.go.com/college-football/team/_/id/36/colorado-state-rams,http://a.espncdn.com/i/teamlogos/ncaa/med/trans/36.gif
22,41,Connecticut,CONN,Huskies,connecticut,http://espn.go.com/college-football/team/_/id/41/connecticut-huskies,http://a.espncdn.com/i/teamlogos/ncaa/med/trans/41.gif
23,150,Duke,DUKE,Blue Devils,duke,http://espn.go.com/college-football/team/_/id/150/duke-blue-devils,http://a.espncdn.com/i/teamlogos/ncaa/med/trans/150.gif
24,151,East Carolina,ECAR,Pirates,east-carolina,http://espn.go.com/college-football/team/_/id/151/east-carolina-pirates,http://a.espncdn.com/i/teamlogos/ncaa/med/trans/151.gif
25,2199,Eastern Michigan,EMIC,Eagles,eastern-michigan,http://espn.go.com/college-football/team/_/id/2199/eastern-michigan-eagles,http://a.espncdn.com/i/teamlogos/ncaa/med/trans/2199.gif
26,57,Florida,UF,Gators,florida,http://espn.go.com/college-football/team/_/id/57/florida-gators,http://a.espncdn.com/i/teamlogos/ncaa/med/trans/57.gif
27,2226,Florida Atlantic,FAU,Owls,forida-atlantic,http://espn.go.com/college-football/team/_/id/2226/florida-atlantic-owls,http://a.espncdn.com/i/teamlogos/ncaa/med/trans/2226.gif
28,2229,Florida International,FIU,Golden Panthers,florida-international,http://espn.go.com/college-football/team/_/id/2229/florida-international-golden-panthers,http://a.espncdn.com/i/teamlogos/ncaa/med/trans/2229.gif
29,52,Florida State,FSU,Seminoles,florida-state,http://espn.go.com/college-football/team/_/id/52/florida-state-seminoles,http://a.espncdn.com/i/teamlogos/ncaa/med/trans/52.gif
